,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",7/12/2025 11:00,28.757294,77.278792,PM2.5,232,442,361
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB",7/12/2025 11:00,28.757294,77.278792,PM10,203,442,306
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB",7/12/2025 11:00,28.685382,77.453839,CO,NA,NA,NA
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",7/12/2025 11:00,28.6603346,77.3572563,NH3,9,20,16
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",7/12/2025 11:00,26.730136,83.433859,NO2,11,12,11
India,Uttar_Pradesh,Gorakhpur,"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",7/12/2025 11:00,26.730136,83.433859,NH3,1,1,1
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",7/12/2025 11:00,26.766433,80.927299,PM10,121,264,162
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",7/12/2025 11:00,26.766433,80.927299,NH3,5,9,7
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",7/12/2025 11:00,26.766433,80.927299,SO2,23,24,24
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",7/12/2025 11:00,26.766433,80.927299,CO,34,44,39
India,Uttar_Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",7/12/2025 11:00,26.906111,80.948222,SO2,3,22,10
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",7/12/2025 11:00,26.90723,80.98579,PM10,121,226,168
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",7/12/2025 11:00,26.90723,80.98579,NH3,5,5,5
